season,episode,total_lines,michael,dwight,jim,pam,andy,angela,kevin,erin,oscar,darryl,ryan,phyllis,jan,kelly,toby,stanley,holly,meredith,nellie,gabe,robert,david,creed,karen,clark,deangelo,charles,roy,pete,jo
7,20,236,68,10,10,8,11,4,4,10,5,8,1,2,0,5,0,3,0,1,0,4,0,0,0,0,0,77,0,0,0,0
7,21,257,83,12,23,15,4,2,6,12,5,2,6,3,0,0,2,3,0,6,0,2,0,0,1,0,0,54,0,0,0,0
7,22,329,117,14,18,19,24,12,11,12,6,3,3,18,0,3,5,9,6,6,0,10,0,0,2,0,0,25,0,0,0,0
7,23,311,0,50,40,26,9,4,13,3,2,8,15,4,0,15,1,0,0,0,0,8,0,0,0,0,0,102,0,0,0,0
7,24,255,0,73,27,11,26,11,20,13,4,5,2,5,0,6,6,2,0,1,0,20,0,0,2,0,0,0,0,0,0,14
7,25,531,0,50,120,32,25,11,14,23,22,29,11,20,0,17,13,4,0,6,9,30,12,0,17,0,0,0,0,0,0,28
8,1,230,0,30,33,23,52,6,8,9,4,4,1,10,0,5,1,8,0,5,0,0,29,0,0,0,0,0,0,0,0,0
8,2,292,0,21,39,33,72,14,24,12,7,7,4,7,0,3,0,5,0,5,0,0,26,0,0,0,0,0,0,0,0,0
8,3,290,0,31,43,23,63,3,14,8,18,51,5,6,0,6,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
8,4,245,0,28,22,10,61,7,4,5,9,9,7,3,0,3,6,1,0,5,0,4,18,0,0,0,0,0,0,0,0,0
8,5,265,0,18,25,26,34,4,9,36,7,9,3,7,0,12,7,3,0,5,0,9,28,0,3,0,0,0,0,0,0,0
8,6,297,0,48,38,17,48,7,10,7,11,15,3,2,0,5,8,7,0,0,0,22,33,0,0,0,0,0,0,0,0,0
8,7,325,0,55,40,67,43,0,15,13,4,23,6,2,0,6,4,0,0,0,0,2,10,0,2,0,0,0,0,0,0,0
8,8,238,0,26,16,18,45,1,15,13,18,11,11,6,0,4,0,4,0,1,0,10,22,0,0,0,0,0,0,0,0,0
8,9,286,0,50,28,0,59,2,2,7,11,24,3,3,0,1,3,0,0,0,0,2,40,0,2,0,0,0,0,0,0,0
8,10,322,0,23,42,0,77,2,9,43,9,10,6,7,0,10,6,5,0,14,0,0,19,0,2,0,0,0,0,0,0,0
8,11,243,0,36,17,0,36,1,17,5,17,10,6,3,0,2,0,4,0,8,0,21,16,0,1,0,0,0,0,0,0,0
8,12,275,0,37,21,0,40,4,11,48,11,9,8,2,0,6,7,7,0,9,0,7,23,0,0,0,0,0,0,0,0,0
8,13,341,0,57,65,28,41,31,12,12,24,5,2,11,0,2,5,4,0,2,0,5,0,0,4,0,0,0,0,0,0,0
8,14,294,0,71,30,29,47,8,5,14,4,23,12,2,0,8,2,7,0,2,0,0,0,0,1,0,0,0,0,0,0,0
8,15,245,0,63,32,10,22,0,2,21,1,4,9,0,0,3,0,13,0,2,27,0,0,0,2,0,0,0,0,0,0,0
8,16,349,0,60,53,15,22,13,6,25,10,14,22,4,0,8,0,6,0,0,24,6,0,0,0,0,0,0,0,0,0,0
8,17,259,0,53,28,10,28,11,8,10,6,4,17,2,0,9,18,1,0,3,18,0,0,0,1,0,0,0,0,0,0,0
8,18,266,0,45,45,10,20,3,21,15,4,26,2,6,0,3,16,2,0,1,12,1,0,0,2,0,0,0,0,0,0,0
8,19,294,0,35,39,17,32,1,8,32,1,27,1,4,0,1,3,1,0,2,42,0,24,0,1,0,0,0,0,0,0,0
8,20,309,0,22,39,34,48,8,3,25,11,1,3,9,0,0,0,1,0,0,22,2,19,0,3,0,0,0,0,0,0,0
8,21,320,0,16,19,29,73,7,9,24,7,5,32,10,0,13,1,1,0,1,42,4,18,0,2,0,0,0,0,0,0,0
8,22,239,0,15,24,22,41,4,18,7,16,14,17,1,0,0,0,1,0,2,17,0,13,5,1,0,0,0,0,0,0,0
8,23,292,0,60,48,23,28,3,1,8,1,0,0,1,0,0,7,1,0,0,15,13,33,4,1,0,0,0,0,0,0,0
8,24,305,0,27,35,24,51,20,3,9,11,15,0,5,0,4,5,1,0,2,21,2,15,17,1,0,0,0,0,0,0,0
