,season,episode,speaker,percent
312,2,12,jim and pam,0.27
313,2,12,kelly,0.27
314,2,12,kevin,0.541
315,2,12,lab tech,0.8109999999999999
316,2,12,meredith,0.27
317,2,12,michael,33.784
318,2,12,oscar,0.8109999999999999
319,2,12,pam,17.297
320,2,12,phyllis,0.8109999999999999
321,2,12,ryan,3.514
322,2,12,stanley,1.081
323,2,12,toby,1.892
324,2,13,angela,1.894
325,2,13,creed,1.1360000000000001
326,2,13,dana,3.0300000000000002
327,2,13,dwight,14.015
328,2,13,gil,0.758
329,2,13,hooter's girls,0.379
330,2,13,jim,19.697
331,2,13,kelly,1.894
332,2,13,kevin,2.6519999999999997
333,2,13,michael,35.606
334,2,13,oscar,3.4090000000000003
335,2,13,pam,10.227
336,2,13,phyllis,0.379
337,2,13,ryan,2.6519999999999997
338,2,13,stanley,1.1360000000000001
339,2,13,toby,1.1360000000000001
340,2,14,angela,0.743
341,2,14,creed,3.3459999999999996
342,2,14,darryl,1.115
343,2,14,dwight,10.409
344,2,14,ed,3.3459999999999996
345,2,14,jim,10.781
346,2,14,jim's voicemail,0.372
347,2,14,kelly,3.3459999999999996
348,2,14,kevin,2.23
349,2,14,michael,39.405
350,2,14,michael and dwight,0.372
351,2,14,oscar,1.859
352,2,14,packer,2.23
353,2,14,pam,10.037
354,2,14,pam and others,0.372
355,2,14,phyllis,0.372
356,2,14,roy,2.23
357,2,14,ryan,5.576
358,2,14,stanley,0.743
359,2,14,toby,0.372
360,2,14,todd,0.372
361,2,14,todd packer,0.372
362,2,16,angela,2.041
363,2,16,craig,5.612
364,2,16,dan,0.51
365,2,16,david,6.122
366,2,16,delivery man,2.551
367,2,16,dwight,9.693999999999999
368,2,16,jan,8.163
369,2,16,jim,8.673
370,2,16,josh,5.612
371,2,16,kelly,6.633
372,2,16,kevin,2.551
373,2,16,meredith,1.02
374,2,16,michael,22.448999999999998
375,2,16,oscar,1.02
376,2,16,pam,11.224
377,2,16,phyllis,1.5310000000000001
378,2,16,roy,2.551
